Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,Unnamed: 0,start_year,team_id,team_name,id,primary_number,birth_date,current_age,birth_city,birth_state_province,birth_country,nationality,height,weight,active,alternate_captain,captain,rookie,shoots_catches,roster_status,position_name,position_type,position_abbreviation
643,Gregory Hofmann,CBJ,29,F,24,2,5,7,8,6.0,12:30,11:42,0:34,0:13,2,0,0,2,0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2,0,0.0%,0.4,1.0,1.399,0.427,1.068,1.495,0.0,0.0,0.0,0.083,0.208,0.292,33.0,6.1%,23.0,10.0,0.0,8.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
646,Nicolas Meloche,SJS,24,D,50,2,5,7,39,-17.0,16:52,15:45,0:06,0:59,2,0,0,1,0,4.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,2,0,0.0%,0.142,0.356,0.498,0.152,0.305,0.457,0.0,0.0,0.0,0.04,0.1,0.14,36.0,5.6%,158.0,54.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
650,Thomas Novak,NSH,24,F,27,1,6,7,2,-4.0,11:47,10:02,1:44,0:00,0,1,0,0,0,3.0,3.0,0.0,2.0,0.0,3.0,4.0,0.0,2,0,57.1%,0.188,1.131,1.319,0.0,0.664,0.664,1.275,3.826,5.101,0.037,0.222,0.259,25.0,4.0%,4.0,6.0,62.0,79.0,43.97%,,,,,,,,,,,,,,,,,,,,,,,
652,Cam Dineen,ARI,23,D,34,0,7,7,4,-16.0,15:38,14:19,0:14,1:04,0,0,0,0,0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0.0%,0.0,0.79,0.79,0.0,0.862,0.862,0.0,0.0,0.0,0.0,0.206,0.206,52.0,0.0%,22.0,44.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
654,Michael Carcone,ARI,25,F,21,4,2,6,14,-8.0,12:18,12:01,0:16,0:00,4,0,0,0,0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0.0%,0.928,0.464,1.392,0.95,0.475,1.425,0.0,0.0,0.0,0.19,0.095,0.286,36.0,11.1%,31.0,7.0,0.0,7.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
656,Maxwell Willman,PHI,26,F,41,4,2,6,16,-13.0,11:46,11:20,0:01,0:23,4,0,0,0,0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0.0%,0.497,0.249,0.746,0.516,0.258,0.774,0.0,0.0,0.0,0.098,0.049,0.146,65.0,6.2%,53.0,10.0,2.0,5.0,28.57%,,,,,,,,,,,,,,,,,,,,,,,
661,Brett Leason,WSH,22,F,36,3,3,6,4,1.0,8:57,8:56,0:00,0:00,3,0,0,0,0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0.0%,0.558,0.558,1.117,0.559,0.559,1.118,0.0,0.0,0.0,0.083,0.083,0.167,45.0,6.7%,16.0,14.0,3.0,5.0,37.50%,,,,,,,,,,,,,,,,,,,,,,,
664,Brett Murray,BUF,23,F,19,2,4,6,23,-3.0,12:57,12:22,0:34,0:00,2,0,0,0,0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0,0,16.7%,0.487,0.974,1.462,0.51,0.765,1.275,0.0,5.43,5.43,0.105,0.211,0.316,14.0,14.3%,17.0,2.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
666,Corey Schueneman,MTL,26,D,24,2,4,6,8,-5.0,16:35,15:11,0:29,0:54,2,0,0,0,0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0,0,16.7%,0.301,0.602,0.904,0.329,0.493,0.822,0.0,5.07,5.07,0.083,0.167,0.25,30.0,6.7%,15.0,40.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
667,Jonas Røndbjerg,VGK,22,F,30,2,4,6,4,0.0,10:00,9:30,0:00,0:29,2,0,0,0,0,4.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2,0,0.0%,0.4,0.799,1.199,0.421,0.841,1.262,0.0,0.0,0.0,0.067,0.133,0.2,30.0,6.7%,13.0,11.0,0.0,2.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
669,Jake Leschyshyn,VGK,22,F,41,2,4,6,8,-2.0,11:18,10:28,0:01,0:47,2,0,0,0,0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0.0%,0.259,0.518,0.777,0.279,0.559,0.838,0.0,0.0,0.0,0.049,0.098,0.146,35.0,5.7%,45.0,23.0,122.0,143.0,46.04%,,,,,,,,,,,,,,,,,,,,,,,
671,Matias Maccelli,ARI,21,F,23,1,5,6,4,-10.0,14:12,12:54,1:14,0:03,1,0,0,0,0,4.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,1,1,16.7%,0.184,0.919,1.102,0.202,0.809,1.011,0.0,2.109,2.109,0.043,0.217,0.261,21.0,4.8%,12.0,8.0,2.0,0.0,100.00%,,,,,,,,,,,,,,,,,,,,,,,
673,Reese Johnson,CHI,23,F,37,1,5,6,16,-13.0,10:37,9:25,0:00,1:11,1,0,0,0,0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0.0%,0.153,0.763,0.916,0.172,0.86,1.033,0.0,0.0,0.0,0.027,0.135,0.162,24.0,4.2%,141.0,14.0,107.0,105.0,50.47%,,,,,,,,,,,,,,,,,,,,,,,
674,Andrej Sustr,ANA,31,D,38,1,5,6,16,-4.0,14:43,13:38,0:00,1:04,1,0,0,0,0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1,0,0.0%,0.107,0.536,0.643,0.116,0.579,0.695,0.0,0.0,0.0,0.026,0.132,0.158,28.0,3.6%,27.0,36.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
675,Ryan Merkley,SJS,21,D,39,1,5,6,8,-10.0,15:22,13:56,1:23,0:02,1,0,0,0,0,3.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0,0,33.3%,0.1,0.5,0.6,0.11,0.331,0.441,0.0,2.211,2.211,0.026,0.128,0.154,36.0,2.8%,12.0,22.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
678,Scott Perunovich,STL,23,D,19,0,6,6,8,2.0,15:27,13:25,2:01,0:00,0,0,0,0,0,3.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,1,0,50.0%,0.0,1.226,1.226,0.0,0.705,0.705,0.0,4.673,4.673,0.0,0.316,0.316,14.0,0.0%,5.0,12.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
681,Casey Fitzgerald,BUF,24,D,36,0,6,6,36,-19.0,16:52,15:35,0:03,1:07,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0.0%,0.0,0.593,0.593,0.0,0.641,0.641,0.0,0.0,0.0,0.0,0.167,0.167,41.0,0.0%,86.0,35.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
683,Brendan Perlini,EDM,25,F,23,4,1,5,6,-2.0,8:22,8:15,0:06,0:00,4,0,0,0,0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1,0,0.0%,1.246,0.312,1.558,1.264,0.316,1.58,0.0,0.0,0.0,0.174,0.043,0.217,24.0,16.7%,29.0,3.0,0.0,1.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
685,Jeffrey Truchon-Viel,SJS,24,F,34,3,2,5,114,-2.0,8:48,8:46,0:00,0:00,3,0,0,0,0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0.0%,0.601,0.401,1.002,0.603,0.402,1.005,0.0,0.0,0.0,0.088,0.059,0.147,30.0,10.0%,84.0,11.0,4.0,8.0,33.33%,,,,,,,,,,,,,,,,,,,,,,,
686,Jesse Ylönen,MTL,22,F,14,2,3,5,2,2.0,11:33,10:18,1:15,0:00,2,0,0,0,0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0.0%,0.741,1.112,1.853,0.832,1.247,2.079,0.0,0.0,0.0,0.143,0.214,0.357,16.0,12.5%,5.0,4.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
689,Morgan Barron,WPG,23,F,27,2,3,5,8,-4.0,9:47,9:44,0:01,0:02,2,0,0,0,0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0.0%,0.454,0.68,1.134,0.457,0.685,1.141,0.0,0.0,0.0,0.074,0.111,0.185,33.0,6.1%,49.0,8.0,30.0,24.0,55.56%,,,,,,,,,,,,,,,,,,,,,,,
697,Kyle Burroughs,VAN,26,D,42,1,4,5,39,-3.0,12:56,12:22,0:01,0:32,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0.0%,0.11,0.442,0.552,0.115,0.462,0.577,0.0,0.0,0.0,0.024,0.095,0.119,39.0,2.6%,122.0,59.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
698,Simon Benoit,ANA,23,D,53,1,4,5,22,-5.0,14:05,13:21,0:00,0:43,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0.0%,0.08,0.321,0.402,0.085,0.339,0.424,0.0,0.0,0.0,0.019,0.075,0.094,45.0,2.2%,168.0,39.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
699,Thomas Bordeleau,SJS,19,F,8,0,5,5,0,-1.0,15:35,13:55,1:39,0:00,0,0,0,0,0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0,0,20.0%,0.0,2.405,2.405,0.0,2.154,2.154,0.0,4.511,4.511,0.0,0.625,0.625,13.0,0.0%,3.0,4.0,40.0,49.0,44.94%,,,,,,,,,,,,,,,,,,,,,,,
702,Lassi Thomson,OTT,21,D,16,0,5,5,2,-8.0,17:14,15:26,1:10,0:38,0,0,0,0,0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0,0,20.0%,0.0,1.087,1.087,0.0,0.972,0.972,0.0,3.211,3.211,0.0,0.313,0.313,18.0,0.0%,23.0,9.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
704,Nolan Foote,NJD,21,F,7,3,1,4,0,3.0,10:22,9:47,0:32,0:01,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,2.48,0.827,3.307,2.625,0.875,3.5,0.0,0.0,0.0,0.429,0.143,0.571,10.0,30.0%,8.0,1.0,0.0,3.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
706,Michael Sgarbossa,WSH,29,F,10,2,2,4,0,3.0,9:53,9:09,0:44,0:00,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,1.213,1.213,2.425,1.311,1.311,2.622,0.0,0.0,0.0,0.2,0.2,0.4,11.0,18.2%,7.0,2.0,41.0,31.0,56.94%,,,,,,,,,,,,,,,,,,,,,,,
707,Nathan Smith,ARI,23,F,10,2,2,4,2,-1.0,14:09,12:26,1:38,0:04,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,0.848,0.848,1.696,0.965,0.965,1.93,0.0,0.0,0.0,0.2,0.2,0.4,14.0,14.3%,26.0,6.0,38.0,58.0,39.58%,,,,,,,,,,,,,,,,,,,,,,,
709,Ronnie Attard,PHI,22,D,15,2,2,4,8,-2.0,16:35,14:35,0:54,1:06,2,0,0,0,0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1,0,0.0%,0.482,0.482,0.964,0.548,0.548,1.096,0.0,0.0,0.0,0.133,0.133,0.267,16.0,12.5%,24.0,17.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
710,Mark Kastelic,OTT,22,F,16,2,2,4,14,-1.0,9:11,8:55,0:13,0:01,2,0,0,1,0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2,0,0.0%,0.817,0.817,1.633,0.84,0.84,1.68,0.0,0.0,0.0,0.125,0.125,0.25,11.0,18.2%,51.0,10.0,70.0,50.0,58.33%,,,,,,,,,,,,,,,,,,,,,,,
711,Arttu Ruotsalainen,BUF,24,F,18,2,2,4,6,-1.0,11:53,10:38,0:48,0:26,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,0.561,0.561,1.121,0.627,0.627,1.253,0.0,0.0,0.0,0.111,0.111,0.222,23.0,8.7%,14.0,6.0,51.0,69.0,42.50%,,,,,,,,,,,,,,,,,,,,,,,
714,Axel Jonsson Fjällby,WSH,23,F,23,2,2,4,4,0.0,11:10,10:27,0:02,0:41,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,0.467,0.467,0.933,0.499,0.499,0.998,0.0,0.0,0.0,0.087,0.087,0.174,29.0,6.9%,18.0,8.0,1.0,3.0,25.00%,,,,,,,,,,,,,,,,,,,,,,,
715,Marian Studenic,DAL,23,F,33,2,2,4,6,-7.0,11:08,10:27,0:09,0:31,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,0.326,0.326,0.652,0.347,0.347,0.695,0.0,0.0,0.0,0.061,0.061,0.121,42.0,4.8%,25.0,15.0,1.0,3.0,25.00%,,,,,,,,,,,,,,,,,,,,,,,
718,Isaac Ratcliffe,PHI,22,F,10,1,3,4,10,-1.0,10:44,9:42,1:01,0:00,1,0,0,0,0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,50.0%,0.558,1.675,2.233,0.618,0.618,1.236,0.0,11.688,11.688,0.1,0.3,0.4,14.0,7.1%,16.0,8.0,0.0,1.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
719,Taro Hirose,DET,25,F,15,1,3,4,4,-5.0,10:39,9:01,1:38,0:00,0,1,0,0,0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,50.0%,0.375,1.126,1.501,0.0,0.887,0.887,2.437,2.437,4.875,0.067,0.2,0.267,10.0,10.0%,9.0,2.0,1.0,1.0,50.00%,,,,,,,,,,,,,,,,,,,,,,,
721,Kevin Bahl,NJD,21,D,17,1,3,4,10,-6.0,15:44,14:39,0:04,1:00,1,0,0,0,0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1,0,0.0%,0.224,0.672,0.897,0.241,0.722,0.963,0.0,0.0,0.0,0.059,0.176,0.235,16.0,6.3%,28.0,15.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
724,Nils Lundkvist,NYR,21,D,25,1,3,4,0,4.0,13:55,12:33,1:12,0:09,0,1,0,0,0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1,0,50.0%,0.172,0.517,0.689,0.0,0.382,0.382,1.977,1.977,3.954,0.04,0.12,0.16,32.0,3.1%,15.0,15.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
727,Thomas Harley,DAL,20,D,34,1,3,4,6,-4.0,13:41,13:39,0:01,0:00,1,0,0,0,0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,0.129,0.387,0.516,0.129,0.388,0.517,0.0,0.0,0.0,0.029,0.088,0.118,36.0,2.8%,30.0,30.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
728,William Eklund,SJS,19,F,9,0,4,4,2,-3.0,14:19,12:03,2:15,0:01,0,0,0,0,0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,1,0,75.0%,0.0,1.861,1.861,0.0,0.553,0.553,0.0,8.889,8.889,0.0,0.444,0.444,8.0,0.0%,4.0,4.0,3.0,5.0,37.50%,,,,,,,,,,,,,,,,,,,,,,,
729,Bobby Brink,PHI,20,F,10,0,4,4,0,-5.0,15:26,12:25,3:01,0:00,0,0,0,0,0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0,0,25.0%,0.0,1.554,1.554,0.0,1.449,1.449,0.0,1.98,1.98,0.0,0.4,0.4,18.0,0.0%,15.0,2.0,3.0,1.0,75.00%,,,,,,,,,,,,,,,,,,,,,,,
730,Derrick Pouliot,SEA,27,D,11,0,4,4,4,6.0,15:30,15:23,0:03,0:02,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0%,0.0,1.407,1.407,0.0,1.417,1.417,0.0,0.0,0.0,0.0,0.364,0.364,8.0,0.0%,10.0,14.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
731,Samuel Blais,NYR,25,F,14,0,4,4,17,3.0,13:27,12:18,1:09,0:00,0,0,0,0,0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2,0,0.0%,0.0,1.274,1.274,0.0,1.393,1.393,0.0,0.0,0.0,0.0,0.286,0.286,17.0,0.0%,37.0,8.0,2.0,3.0,40.00%,,,,,,,,,,,,,,,,,,,,,,,
734,Colton White,NJD,24,D,27,0,4,4,8,2.0,13:15,12:57,0:00,0:16,0,0,0,0,0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1,0,0.0%,0.0,0.671,0.671,0.0,0.686,0.686,0.0,0.0,0.0,0.0,0.148,0.148,18.0,0.0%,24.0,14.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
739,Marc McLaughlin,BOS,22,F,11,3,0,3,8,-1.0,10:29,10:19,0:09,0:00,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,1.56,0.0,1.56,1.585,0.0,1.585,0.0,0.0,0.0,0.273,0.0,0.273,12.0,25.0%,15.0,2.0,5.0,10.0,33.33%,,,,,,,,,,,,,,,,,,,,,,,
741,Owen Power,BUF,19,D,8,2,1,3,2,3.0,22:05,18:35,0:57,2:32,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.679,0.34,1.019,0.807,0.404,1.211,0.0,0.0,0.0,0.25,0.125,0.375,10.0,20.0%,1.0,9.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
742,Mason McTavish,ANA,18,F,9,2,1,3,2,3.0,13:04,10:44,1:59,0:20,2,0,0,1,0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0,33.3%,1.019,0.51,1.529,1.241,0.0,1.241,0.0,3.358,3.358,0.222,0.111,0.333,12.0,16.7%,8.0,6.0,0.0,3.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
743,Jack McBain,ARI,21,F,10,2,1,3,6,-6.0,14:10,11:37,0:34,1:58,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.847,0.423,1.27,1.032,0.516,1.549,0.0,0.0,0.0,0.2,0.1,0.3,13.0,15.4%,33.0,9.0,35.0,68.0,33.98%,,,,,,,,,,,,,,,,,,,,,,,
744,Sheldon Dries,VAN,27,F,11,2,1,3,0,-3.0,10:18,9:22,0:55,0:00,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0,33.3%,1.059,0.53,1.589,0.582,0.582,1.163,5.931,0.0,5.931,0.182,0.091,0.273,17.0,11.8%,9.0,6.0,7.0,14.0,33.33%,,,,,,,,,,,,,,,,,,,,,,,
746,Adam Brooks,WPG,25,F,25,2,1,3,2,2.0,8:56,8:36,0:14,0:06,2,0,0,2,0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2,0,0.0%,0.536,0.268,0.805,0.558,0.279,0.837,0.0,0.0,0.0,0.08,0.04,0.12,14.0,14.3%,11.0,6.0,23.0,34.0,40.35%,,,,,,,,,,,,,,,,,,,,,,,
749,Hayden Hodgson,PHI,25,F,6,1,2,3,11,-1.0,13:12,12:39,0:32,0:00,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.758,1.515,2.273,0.79,1.581,2.371,0.0,0.0,0.0,0.167,0.333,0.5,10.0,10.0%,12.0,2.0,1.0,1.0,50.00%,,,,,,,,,,,,,,,,,,,,,,,
751,Nick Blankenburg,CBJ,23,D,7,1,2,3,4,-3.0,17:34,16:19,0:37,0:37,0,1,0,1,0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0,33.3%,0.488,0.976,1.463,0.0,1.051,1.051,13.585,0.0,13.585,0.143,0.286,0.429,13.0,7.7%,19.0,12.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
753,Carson Meyer,CBJ,24,F,13,1,2,3,6,0.0,8:13,8:07,0:00,0:06,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.561,1.122,1.683,0.568,1.137,1.705,0.0,0.0,0.0,0.077,0.154,0.231,13.0,7.7%,27.0,2.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
754,Logan Shaw,OTT,29,F,17,1,2,3,2,-3.0,9:22,8:13,0:02,1:07,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.376,0.753,1.129,0.43,0.859,1.289,0.0,0.0,0.0,0.059,0.118,0.176,17.0,5.9%,11.0,5.0,58.0,57.0,50.43%,,,,,,,,,,,,,,,,,,,,,,,
755,Benoit-Olivier Groulx,ANA,21,F,18,1,2,3,2,0.0,10:59,9:20,0:05,1:33,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.303,0.606,0.91,0.357,0.713,1.07,0.0,0.0,0.0,0.056,0.111,0.167,17.0,5.9%,19.0,6.0,38.0,45.0,45.78%,,,,,,,,,,,,,,,,,,,,,,,
762,Jonah Gadjovich,SJS,23,F,43,1,2,3,74,-9.0,8:45,8:44,0:00,0:00,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.159,0.319,0.478,0.16,0.319,0.479,0.0,0.0,0.0,0.023,0.047,0.07,36.0,2.8%,104.0,14.0,1.0,2.0,33.33%,,,,,,,,,,,,,,,,,,,,,,,
763,Nick Seeler,PHI,28,D,43,1,2,3,29,-3.0,13:04,12:14,0:03,0:47,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0%,0.107,0.213,0.32,0.114,0.228,0.342,0.0,0.0,0.0,0.023,0.047,0.07,32.0,3.1%,75.0,67.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
765,Kent Johnson,CBJ,19,F,9,0,3,3,2,2.0,12:26,11:05,1:21,0:00,0,0,0,0,0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,66.7%,0.0,1.607,1.607,0.0,0.601,0.601,0.0,9.863,9.863,0.0,0.333,0.333,5.0,0.0%,4.0,1.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
772,Jacob Markström,CGY,31,G,63,0,3,3,10,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.0,0.048,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Jack Drury,CAR,21,F,2,2,0,2,2,3.0,15:57,14:20,0:00,1:37,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0.0%,3.76,0.0,3.76,4.184,0.0,4.184,0.0,0.0,0.0,1.0,0.0,1.0,6.0,33.3%,4.0,2.0,12.0,3.0,80.00%,,,,,,,,,,,,,,,,,,,,,,,
774,Martin Frk,LAK,28,F,6,2,0,2,2,-4.0,14:01,10:29,3:32,0:00,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,100.0%,1.425,0.0,1.425,0.0,0.0,0.0,5.638,0.0,5.638,0.333,0.0,0.333,15.0,13.3%,11.0,0.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
775,Paul Cotter,VGK,22,F,7,2,0,2,6,1.0,8:48,8:47,0:01,0:00,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0.0%,1.945,0.0,1.945,1.95,0.0,1.95,0.0,0.0,0.0,0.286,0.0,0.286,11.0,18.2%,17.0,1.0,0.0,1.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
